REC_SLOC     WELL_DEP     REC_DEP      REC_X        REC_Y        REC_ELEV     
1            46.681       46.677       720807.625   3983664.250   613.824      
2            61.921       61.912       720807.938   3983664.438   598.589      
3            77.161       77.149       720808.312   3983664.500   583.352      
4            92.401       92.385       720808.625   3983664.562   568.116      
5            107.641      107.620      720809.000   3983664.562   552.881      
6            122.881      122.856      720809.375   3983664.625   537.645      
7            138.121      138.090      720809.812   3983664.562   522.412      
8            153.361      153.323      720810.250   3983664.562   507.178      
9            168.601      168.555      720810.688   3983664.562   491.946      
10           183.841      183.786      720811.250   3983664.500   476.715      
11           199.081      199.016      720811.750   3983664.438   461.485      
12           214.321      214.247      720812.312   3983664.375   446.254      
13           229.561      229.476      720812.875   3983664.312   431.025      
14           244.801      244.706      720813.438   3983664.250   415.796      
15           260.041      259.933      720814.062   3983664.188   400.568      
16           275.281      275.161      720814.625   3983664.125   385.340      
17           290.521      290.392      720815.188   3983664.000   370.109      
18           305.761      305.623      720815.750   3983663.938   354.878      
19           321.001      320.855      720816.188   3983663.875   339.646      
20           336.241      336.089      720816.625   3983663.750   324.412      
21           351.481      351.323      720817.000   3983663.688   309.178      
22           366.721      366.559      720817.375   3983663.625   293.942      
23           381.961      381.793      720817.750   3983663.500   278.708      
24           397.201      397.030      720818.125   3983663.438   263.471      
25           412.441      412.264      720818.438   3983663.375   248.237      
26           427.681      427.500      720818.875   3983663.312   233.001      
27           442.921      442.735      720819.250   3983663.250   217.766      
28           458.161      457.969      720819.625   3983663.250   202.532      
29           473.401      473.203      720820.062   3983663.188   187.298      
30           488.641      488.437      720820.500   3983663.188   172.064      
31           503.881      503.671      720820.875   3983663.188   156.830      
32           519.121      518.907      720821.312   3983663.125   141.594      
33           534.361      534.141      720821.750   3983663.062   126.361      
34           549.601      549.374      720822.188   3983662.938   111.127      
35           564.841      564.606      720822.625   3983662.812   95.895       
36           580.081      579.837      720823.062   3983662.625   80.664       
37           595.321      595.070      720823.562   3983662.438   65.431       
38           610.561      610.302      720824.062   3983662.312   50.199       
39           625.801      625.533      720824.500   3983662.188   34.968       
40           641.041      640.766      720825.000   3983662.062   19.735       
41           656.281      655.997      720825.500   3983661.938   4.505        
42           671.521      671.227      720826.000   3983661.875   -10.726      
43           686.761      686.459      720826.500   3983661.812   -25.958      
44           702.001      701.692      720827.000   3983661.750   -41.191      
45           717.241      716.924      720827.438   3983661.750   -56.423      
46           732.481      732.157      720827.938   3983661.750   -71.656      
47           747.721      747.389      720828.438   3983661.750   -86.888      
48           762.961      762.622      720828.938   3983661.812   -102.121     
49           778.201      777.854      720829.375   3983661.875   -117.353     
50           793.441      793.087      720829.812   3983661.875   -132.586     
51           808.681      808.323      720830.188   3983661.938   -147.822     
52           823.921      823.561      720830.438   3983661.938   -163.060     
53           839.161      838.798      720830.750   3983662.000   -178.297     
54           854.401      854.035      720830.938   3983662.000   -193.534     
55           869.641      869.275      720831.188   3983662.000   -208.774     
56           884.881      884.512      720831.375   3983661.938   -224.011     
57           900.121      899.752      720831.500   3983661.875   -239.251     
58           915.361      914.992      720831.625   3983661.812   -254.491     
59           930.601      930.232      720831.750   3983661.750   -269.731     
60           945.841      945.469      720831.875   3983661.688   -284.968     
61           961.081      960.709      720831.938   3983661.500   -300.208     
62           976.321      975.949      720832.062   3983661.375   -315.448     
63           991.561      991.188      720832.312   3983661.250   -330.687     
64           1006.801     1006.421     720832.688   3983661.125   -345.920     
65           1022.041     1021.657     720833.125   3983660.938   -361.156     
66           1037.281     1036.887     720833.625   3983660.750   -376.386     
67           1052.521     1052.117     720834.188   3983660.625   -391.616     
68           1067.761     1067.341     720834.812   3983660.500   -406.840     
69           1083.001     1082.567     720835.500   3983660.500   -422.066     
70           1098.241     1097.777     720836.375   3983660.688   -437.276     
71           1113.481     1112.987     720837.312   3983661.250   -452.486     
72           1128.721     1128.177     720838.188   3983662.062   -467.676     
73           1143.961     1143.367     720839.000   3983663.000   -482.866     
74           1159.201     1158.557     720839.750   3983663.938   -498.056     
75           1174.441     1173.757     720840.375   3983664.812   -513.256     
76           1189.681     1188.957     720840.812   3983665.812   -528.456     
77           1204.921     1204.167     720841.250   3983666.750   -543.666     
78           1220.161     1219.367     720841.625   3983667.688   -558.866     
79           1235.401     1234.577     720841.938   3983668.688   -574.076     
80           1250.641     1249.777     720842.312   3983669.625   -589.276     
